run_ts,host,gomaxprocs,go_version,git_commit,logn,k,slots,blocks,seed,rounds,subbytes,xor,clean,cleandepth,place,extract,extractlv,logscale,primes,logq0,logq,logp,logqp,dnum,digit_bits,marge,q_sizes,p_sizes,chain_id,h,h_tilde,s2c_levels,c2s_levels,mod1_type,mod1_deg,mod1_k,logmsgratio,galois_keys,key_gb,keygen_ms,dft_ms,refresh_lv,ark_lv,seq,round,step,ms,elapsed_ms,level,prec_avg,prec_min,worst_err,slots_pooled,bit_err,blocks_wrong
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,11,2,Cleaning,457.757,58592.307,5,29.303,24.331,0.000000,131072,0.000000,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,12,3,SubBytes,3672.507,62264.815,2,18.502,14.260,0.000051,131072,0.000051,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,13,3,Refresh,23629.382,85894.197,11,22.400,17.314,0.000006,131072,0.000006,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,14,3,MixColumns,1859.468,87753.665,8,16.159,14.567,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,15,3,AddRoundKey,321.677,88075.343,7,16.159,14.567,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,16,3,Cleaning,477.501,88552.844,5,29.304,24.341,0.000000,131072,0.000000,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,17,4,SubBytes,3934.499,92487.344,2,18.510,14.263,0.000051,131072,0.000051,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,18,4,Refresh,24662.003,117149.347,11,22.389,17.314,0.000006,131072,0.000006,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,19,4,MixColumns,1995.909,119145.256,8,16.148,14.570,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,20,4,AddRoundKey,352.932,119498.188,7,16.148,14.570,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,21,4,Cleaning,525.023,120023.212,5,29.303,24.303,0.000000,131072,0.000000,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,22,5,SubBytes,3899.478,123922.690,2,18.495,14.261,0.000051,131072,0.000051,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,23,5,Refresh,24466.896,148389.586,11,22.364,17.314,0.000006,131072,0.000006,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,24,5,MixColumns,1769.397,150158.984,8,16.144,14.569,0.000041,131072,0.000041,0
2026-09-12T11:31:38+02:00,ordi-2-nathan,8,go1.26.7,ba0a1a36+,11,4,2048,1024,1789205498807533336,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"clean (interp+cleaning, k+1 lv)",5,38,32,38,1238.0,336.0,1574.0,4,326.0,10.0,38 60 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38 38,42 42 42 42 42 42 42 42,a7218f48,256,32,1,1 1 1,CosDiscrete,30,16,0,65,0.352,1986.3,4493.6,11,8,25,5,AddRoundKey,325.565,150484.549,7,16.144,14.569,0.000041,131072,0.000041,0
