run_ts,logn,k,slots,blocks,seed,rounds,subbytes,xor,clean,cleandepth,place,extract,extractlv,primes,logscale,refresh_lv,ark_lv,seq,round,step,ms,level,prec_avg,prec_min,worst_err,slots_pooled,bit_err,blocks_wrong
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,20,4,AddRoundKey,310.791,7,13.633,9.587,0.0013,131072,0.0013,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,21,4,Cleaning,538.028,5,25.374,17.589,5e-06,131072,5e-06,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,22,5,SubBytes,3613.31,2,19.139,14.098,5.7e-05,131072,5.7e-05,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,23,5,Refresh,23350.186,11,15.739,10.362,0.00076,131072,0.00076,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,24,5,MixColumns,1738.23,8,13.655,9.406,0.001475,131072,0.001475,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,25,5,AddRoundKey,304.098,7,13.655,9.406,0.001475,131072,0.001475,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,26,5,Cleaning,524.066,5,25.425,17.225,7e-06,131072,7e-06,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,27,6,SubBytes,3616.391,2,19.149,14.099,5.7e-05,131072,5.7e-05,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,28,6,Refresh,23675.873,11,15.739,10.378,0.000751,131072,0.000751,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,29,6,MixColumns,1762.619,8,13.631,9.331,0.001553,131072,0.001553,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,30,6,AddRoundKey,308.797,7,13.631,9.331,0.001553,131072,0.001553,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,31,6,Cleaning,528.139,5,25.373,17.075,7e-06,131072,7e-06,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,32,7,SubBytes,3581.632,2,19.15,14.105,5.7e-05,131072,5.7e-05,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,33,7,Refresh,23774.089,11,15.726,10.354,0.000764,131072,0.000764,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,34,7,MixColumns,1787.044,8,13.629,9.722,0.001184,131072,0.001184,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,35,7,AddRoundKey,318.03,7,13.629,9.722,0.001184,131072,0.001184,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,36,7,Cleaning,538.314,5,25.364,17.857,4e-06,131072,4e-06,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,37,8,SubBytes,3588.006,2,19.131,14.083,5.8e-05,131072,5.8e-05,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,38,8,Refresh,23591.473,11,15.716,10.327,0.000779,131072,0.000779,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,39,8,MixColumns,1815.388,8,13.627,9.471,0.001409,131072,0.001409,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,40,8,AddRoundKey,324.491,7,13.627,9.471,0.001409,131072,0.001409,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,41,8,Cleaning,558.052,5,25.374,17.355,6e-06,131072,6e-06,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,42,9,SubBytes,3682.095,2,19.142,14.047,5.9e-05,131072,5.9e-05,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,43,9,Refresh,24087.828,11,15.738,10.374,0.000753,131072,0.000753,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,44,9,MixColumns,1707.975,8,13.652,9.478,0.001402,131072,0.001402,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,45,9,AddRoundKey,309.043,7,13.652,9.478,0.001402,131072,0.001402,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,46,9,Cleaning,534.346,5,25.415,17.372,6e-06,131072,6e-06,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,47,10,SubBytes,3780.494,2,19.14,14.099,5.7e-05,131072,5.7e-05,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,48,10,Refresh,24017.083,11,15.742,10.385,0.000748,131072,0.000748,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,49,10,AddRoundKey,391.855,10,15.742,10.385,0.000748,131072,0.000748,0
2026-09-07T16:38:46+02:00,11,4,2048,1024,1788791926622071815,9,2,nosq (x+y-2xy),Cleaning (2 lv),2,XorThenClean,"half (demi-spectre, k lv)",4,31,38,11,8,50,10,Cleaning,741.398,8,28.287,19.187,2e-06,131072,2e-06,0
